"field1","field2","field3","entity","class","taxonSpecific","constrainedValues","family","examples","description"
"modelFit","occupancy",NA,"formula","character vector","optional","NULL","occupancy","~bio1 + I(bio1)^2 +bio4 + (bio4)^2+bio1*bio4","Specify the formula used for occurrence either as you would in the software used or in plain text"
"modelFit","occupancy",NA,"observationFormula","character vector","optional","NULL","occupancy","~humanPopulationDensity","Specify the formula used for observation either as you would in the software used or in plain text"
"modelFit","occupancy",NA,"notes","character vector","optional","NULL","occupancy","NULL","User specified"
"modelFit",NA,NA,"references","character vector","no","NULL","base","@article{Merow:2013eq,author = {Merow, Cory  and Smith, Matthew J and Silander, John A},title = {{A practical guide to MaxEnt for modeling species{\textquoteright} distributions: what it does, and why inputs and settings matter}},journal = {Ecography},year = {2013},volume = {36},number = {10},pages = {1058--1069}}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"prediction","continuous",NA,"units","character","no","absolute probability; relative occurrence rate; other;","prediction","absolute probability;  relative occurrence rate; number of individuals; biomass (kg); biomass (g)","A description of the meaning and units of the prediction."
"prediction","continuous",NA,"minVal","numeric vector","yes","NULL","prediction","0.001","Minimum predicted value in study region."
"prediction","continuous",NA,"maxVal","numeric vector","yes","NULL","prediction","0.97","Maximum predicted value in study region."
"prediction","binary",NA,"thresholdSet","numeric vector","yes","NULL","base","0.34","Threshold value of predicted occurrence probability used to distinguish presence from absence for binary classification (e.g., truePositiveRate, falseNegativeRate)"
"prediction","binary",NA,"thresholdRule","numeric vector","optional","1% quantile of training presences; 5% quantile of training presences; 10% quantile of training presences; max (sensitivity + specificity); other","base","5% quantile of training presences","Rule for obtaining a threshold value of predicted occurrence probability used to distinguish presence from absence for binary classification (e.g., truePositiveRate, falseNegativeRate)"
"prediction",NA,NA,"notes","character vector","optional","NULL","prediction","NULL","User specified"
"prediction",NA,NA,"extrapolation","character","no","clamping; extrapolate function; other;","base","clamping; extrapolate function","In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data."
"prediction","transfer","environment1","units","character","no","absolute probability;  relative occurrence rate; other;","transferEnv1","absolute probability;  relative occurrence rate; presence/absence","The units of the prediction, e.g., absolute probability (occupancy), relative probobility (relative occurrence rate), abdunance, relative abundance, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","minVal","numeric vector","optional","NULL","transferEnv1","0.001","Supply a vector of minimum values all taxa predictions. For example, the first element is the minimum predicted value for taxon 1, the second element is the minimum predicted value for taxon 2, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","maxVal","numeric vector","optional","NULL","transferEnv1","0.97","Supply a vector of maximum values for all taxa predictions. For example, the first element is the maximum predicted value for taxon 1, the second element is the maximum predicted value for taxon 2, etc. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","thresholdSet","numeric vector","optional","NULL","transferEnv1","0.34","only if binary/trinary. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","thresholdRule","numeric vector","no","NULL","transferEnv1","5% quantile of training presences","only if binary/trinary. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer","environment1","extrapolation","character","no","clamping; extrapolate function; other;","base","clamping; extrapolate function","In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data."
"prediction","transfer","environment1","notes","character vector","optional","NULL","transferEnv1","NULL","User specified. Additional environments can be added by including the field data:transfer:environment2: for each relevant entity."
"prediction","transfer",NA,"notes","character vector","optional","NULL","base","NULL","User specified"
"prediction","transfer",NA,"extrapolation","character","no","clamping; extrapolate function; other;","NULL","clamping; extrapolate function","In Example 2, 'extrapolate function' indicates that the fitted functional form was not modified beyond the range of the data."
"prediction",NA,NA,"ensembleRule","character vector","optional","NULL","ensemble","Models weighted by AUC scores on test data;","Describe rules used for weighting models in the ensemble"
"prediction","uncertainty",NA,"units","character","no","NULL","base","absolute probability; relative probability","Units of values on uncertainty map"
"prediction","uncertainty",NA,"minVal","numeric vector","yes","NULL","base","0.001","Minimum predicted value in study region."
"prediction","uncertainty",NA,"maxVal","numeric vector","yes","NULL","base","0.14","Maximum predicted value in study region."
"prediction","uncertainty",NA,"notes","character vector","optional","NULL","base","NULL","User specified"
"evaluation","trainingDataStats",NA,"AUC","numeric vector","yes","NULL","binaryClassification","0.923","Area Under the Curve (ROC curve); See R function ROCR::performance."
"evaluation","trainingDataStats",NA,"pearsonCor","numeric vector","yes","NULL","binaryClassification","0.914","Pearson's correlation coefficient; See R function ROCR::performance."
"evaluation","trainingDataStats",NA,"cohensKappa","numeric vector","yes","NULL","binaryClassification","0.842","Cohen's kappa statistic; See R function ROCR::performance."
"evaluation","trainingDataStats",NA,"trueSkillStatistic","numeric vector","yes","NULL","binaryClassification","0.825","See R function ROCR::performance"
"evaluation","trainingDataStats",NA,"truePositiveRate","numeric vector","yes","NULL","binaryClassification","0.95","See R function ROCR::performance"
"evaluation","trainingDataStats",NA,"trueNegativeRate","numeric vector","yes","NULL","binaryClassification","0.7","See R function ROCR::performance"
"evaluation","trainingDataStats",NA,"falsePositiveRate","numeric vector","yes","NULL","binaryClassification","0.3","See R function ROCR::performance"
"evaluation","trainingDataStats",NA,"falseNegativeRate","numeric vector","yes","NULL","binaryClassification","0.05","See R function ROCR::performance"
"evaluation","trainingDataStats",NA,"boyce","numeric vector","yes","NULL","binaryClassification","0.874","Boyce index; See R package ecospat"
"evaluation","trainingDataStats",NA,"pAUC","numeric vector","yes","NULL","binaryClassification","0.843","See R package pAUC"
"evaluation","trainingDataStats",NA,"pAUCLoThreshold","numeric vector","yes","NULL","binaryClassification","0.211","NOT USED YET"
"evaluation","trainingDataStats",NA,"pAUCHiThreshold","numeric vector","yes","NULL","binaryClassification","0.564","NOT USED YET"
"evaluation","trainingDataStats",NA,"AIC","numeric vector","yes","NULL","NULL","34.2","Akaike Information Criterion"
"evaluation","trainingDataStats",NA,"BIC","numeric vector","yes","NULL","NULL","27.4","Bayesian Information Criterion"
"evaluation","trainingDataStats",NA,"DIC","numeric vector","yes","NULL","NULL","19.6","Deviance Information Criterion"
"evaluation","testingDataStats",NA,"AUC","numeric vector","yes","NULL","binaryClassification","0.923","Area Under the Curve (ROC curve); See R function ROCR::performance."
"evaluation","testingDataStats",NA,"AUCDiff","numeric vector","yes","NULL","binaryClassification","0.001","Absolute difference between AUCtrain and AUCtest"
"evaluation","testingDataStats",NA,"pearsonCor","numeric vector","yes","NULL","binaryClassification","0.914","Pearson's correlation coefficient; See R function ROCR::performance."
"evaluation","testingDataStats",NA,"cohensKappa","numeric vector","yes","NULL","binaryClassification","0.842","Cohen's kappa statistic; See R function ROCR::performance."
"evaluation","testingDataStats",NA,"trueSkillStatistic","numeric vector","yes","NULL","binaryClassification","0.825","See R function ROCR::performance"
"evaluation","testingDataStats",NA,"truePositiveRate","numeric vector","yes","NULL","binaryClassification","0.95","See R function ROCR::performance"
"evaluation","testingDataStats",NA,"trueNegativeRate","numeric vector","yes","NULL","binaryClassification","0.7","See R function ROCR::performance"
"evaluation","testingDataStats",NA,"falsePositiveRate","numeric vector","yes","NULL","binaryClassification","0.3","See R function ROCR::performance"
"evaluation","testingDataStats",NA,"falseNegativeRate","numeric vector","yes","NULL","binaryClassification","0.05","See R function ROCR::performance"
"evaluation","testingDataStats",NA,"boyce","numeric vector","yes","NULL","binaryClassification","0.874","Boyce index; See R package ecospat"
"evaluation","testingDataStats",NA,"omissionRate","numeric vector","yes","NULL","binaryClassification","0.125","Omission rate of occurrence points on test data"
"evaluation","testingDataStats",NA,"notes","character vector","yes","NULL","binaryClassification","threshold set to minimum training presence","Used to state thresholds for threshold-dependent evaluation metrics, etc."
"evaluation","evaluationDataStats",NA,"AUC","numeric vector","yes","NULL","binaryClassification","0.923","Area Under the Curve (ROC curve); See R function ROCR::performance."
"evaluation","evaluationDataStats",NA,"pearsonCor","numeric vector","yes","NULL","binaryClassification","0.914","Pearson's correlation coefficient; See R function ROCR::performance."
"evaluation","evaluationDataStats",NA,"cohensKappa","numeric vector","yes","NULL","binaryClassification","0.842","Cohen's kappa statistic; See R function ROCR::performance."
"evaluation","evaluationDataStats",NA,"trueSkillStatistic","numeric vector","yes","NULL","binaryClassification","0.825","See R function ROCR::performance"
"evaluation","evaluationDataStats",NA,"truePositiveRate","numeric vector","yes","NULL","binaryClassification","0.95","See R function ROCR::performance"
"evaluation","evaluationDataStats",NA,"trueNegativeRate","numeric vector","yes","NULL","binaryClassification","0.7","See R function ROCR::performance"
"evaluation","evaluationDataStats",NA,"falsePositiveRate","numeric vector","yes","NULL","binaryClassification","0.3","See R function ROCR::performance"
"evaluation","evaluationDataStats",NA,"falseNegativeRate","numeric vector","yes","NULL","binaryClassification","0.05","See R function ROCR::performance"
"evaluation","evaluationDataStats",NA,"boyce","numeric vector","yes","NULL","binaryClassification","0.874","Boyce index; See R package ecospat"
"evaluation",NA,NA,"references","character vector","no","NULL","base","@article{Liu:2010cq, author = {Liu, Canran and White, Matt and Newell, Graeme},title = {{Measuring and comparing the accuracy of species distribution models with presence-absence data}},year = {2010},volume = {34},number = {2},pages = {232--243}}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"evaluation",NA,NA,"notes","character vector","optional","NULL","base","NULL","User specified"
"code","wallace",NA,"occsNum","numeric","yes","NULL","wallace","NULL","Internal use only in Wallace. Note that this may differ from data:occurrence:pesenceSampleSize because users may subset the presence points in Wallace."
"code","wallace",NA,"userCSV","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"removedIDs","numeric vector","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"occsCellPolyCoords","numeric vector","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"userBgExt","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"userBgPath","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"userBgShpParams","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"maxentEvalPlotCell","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","wallace",NA,"bcPlotSettings","character","yes","NULL","wallace","NULL","Internal use only in Wallace."
"code","software",NA,"platform","character vector","no","NULL","base","@Manual{title = {R: A Language and Environment for Statistical Computing},author = {{R Core Team}},organization = {R Foundation for Statistical Computing},address = {Vienna, Austria},year = {2017},url = {https://www.R-project.org/},}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"code","software",NA,"packages","character vector","no","NULL","base","@Manual{title = {dismo: Species Distribution Modeling},author = {Robert J. Hijmans and Steven Phillips and John Leathwick and Jane Elith},year = {2017}, note = {R package version 1.1-4},url = {https://CRAN.R-project.org/package=dismo},}","bibtex format citation or vector of citations or a traditional reference format as specified by a journal or user specified."
"code",NA,NA,"demoCodeLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains simplified examples of the analysis."
"code",NA,NA,"vignetteCodeLink","character","optional","NULL","base","https://cran.r-project.org/web/packages/bossMaps/vignettes/bossMaps.html","A permanent link to an R-style vignette."
"code",NA,NA,"fullCodeLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains complete code for the analysis."
"code",NA,NA,"demoDataLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains simplified examples of the analysis."
"code",NA,NA,"vignetteDataLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains data needed for demo code."
"code",NA,NA,"fullDataLink","character","optional","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains data needed for vignettes code."
"code",NA,NA,"codeNotes","character","no","NULL","base","https://github.com/cmerow/Merow_et_al_2016_GEB_Minxent_Examples","A permanent link to a website that contains data needed for full code."
